date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:22	119824/119824	---M--	200	added ('OK')	image/jpeg	etag:%2246bbfebd2e8ec2e3884cdcd758f86272%22	https://designpro-html.vercel.app/assets/images/projects/work7.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/projects/work7.jpg	(from https://designpro-html.vercel.app/)
13:46:22	89905/89905	---M--	200	added ('OK')	image/jpeg	etag:%22f4bc2017fb916ca16834f5f6a8c17fff%22	https://designpro-html.vercel.app/assets/images/projects/work1.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/projects/work1.jpg	(from https://designpro-html.vercel.app/)
13:46:22	74461/74461	---M--	200	added ('OK')	image/jpeg	etag:%22846a39b773972d706bdc36b67fa62a05%22	https://designpro-html.vercel.app/assets/images/projects/work6.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/projects/work6.jpg	(from https://designpro-html.vercel.app/)
13:46:23	115123/115123	---M--	200	added ('OK')	image/jpeg	etag:%220f5aeddfa4a77a21c797da4293f185f3%22	https://designpro-html.vercel.app/assets/images/projects/work5.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/projects/work5.jpg	(from https://designpro-html.vercel.app/)
13:46:23	1923/1923	---M--	200	added ('OK')	image/png	etag:%22811da94a0101ef679c23addb8a55cd4a%22	https://designpro-html.vercel.app/assets/images/company-logo/company1.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/company-logo/company1.png	(from https://designpro-html.vercel.app/)
13:46:23	2061/2061	---M--	200	added ('OK')	image/png	etag:%22578f2682ff4acdd30a3b38927a66ef3d%22	https://designpro-html.vercel.app/assets/images/company-logo/company2.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/company-logo/company2.png	(from https://designpro-html.vercel.app/)
13:46:24	2367/2367	---M--	200	added ('OK')	image/png	etag:%220187adceb1db150ffd8c3a0a45fe9a5b%22	https://designpro-html.vercel.app/assets/images/company-logo/company3.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/company-logo/company3.png	(from https://designpro-html.vercel.app/)
13:46:24	3378/3378	---M--	200	added ('OK')	image/png	etag:%22a8508a74b7eabc84f22d90eb74f67240%22	https://designpro-html.vercel.app/assets/images/company-logo/company4.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/company-logo/company4.png	(from https://designpro-html.vercel.app/)
13:46:24	2105/2105	---M--	200	added ('OK')	image/png	etag:%22291e2101e7ac729ef56cb88c872b31c4%22	https://designpro-html.vercel.app/assets/images/company-logo/company5.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/company-logo/company5.png	(from https://designpro-html.vercel.app/)
13:46:25	7145/7145	---M--	200	added ('OK')	image/png	etag:%2281ee92aa065b5929248fccd578ba5fb0%22	https://designpro-html.vercel.app/assets/images/company-logo/company6.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/company-logo/company6.png	(from https://designpro-html.vercel.app/)
13:46:25	1494725/1494725	---M--	200	added ('OK')	image/png	etag:%22e24ca178797e79fddee09bf573ec7a2c%22	https://designpro-html.vercel.app/assets/images/about/founder.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/about/founder.png	(from https://designpro-html.vercel.app/)
13:46:25	1748/1748	---M--	200	added ('OK')	image/png	etag:%22211cbdfe9f700658e327477e314a88f0%22	https://designpro-html.vercel.app/assets/images/shapes/workprocess-shape2.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/shapes/workprocess-shape2.png	(from https://designpro-html.vercel.app/)
13:46:26	1785/1785	---M--	200	added ('OK')	image/png	etag:%2299f5c2de7d4588387937888da6cfd1fa%22	https://designpro-html.vercel.app/assets/images/shapes/workprocess-shape1.png	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/shapes/workprocess-shape1.png	(from https://designpro-html.vercel.app/)
13:46:26	49992/49992	---M--	200	added ('OK')	image/jpeg	etag:%22bfda8e9a00f25ada874555851cf74aee%22	https://designpro-html.vercel.app/assets/images/services/service1.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/services/service1.jpg	(from https://designpro-html.vercel.app/)
13:46:27	25153/25153	---M--	200	added ('OK')	image/jpeg	etag:%222c53f76305ef57f598938c0054a7c149%22	https://designpro-html.vercel.app/assets/images/services/service2.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/services/service2.jpg	(from https://designpro-html.vercel.app/)
13:46:27	35768/35768	---M--	200	added ('OK')	image/jpeg	etag:%228021e7ac25b0f69b9202c9e114ba6ebc%22	https://designpro-html.vercel.app/assets/images/services/service3.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/services/service3.jpg	(from https://designpro-html.vercel.app/)
13:46:27	5000/5000	---M--	200	added ('OK')	image/jpeg	etag:%2236d2a0834e89c8861698e89309b51d7e%22	https://designpro-html.vercel.app/assets/images/testimonials/author1.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/testimonials/author1.jpg	(from https://designpro-html.vercel.app/)
13:46:28	4603/4603	---M--	200	added ('OK')	image/jpeg	etag:%22c386d9d6029d6093b02e58d9916c1dbf%22	https://designpro-html.vercel.app/assets/images/testimonials/author2.jpg	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/images/testimonials/author2.jpg	(from https://designpro-html.vercel.app/)
13:46:28	52251/52251	---MCZ	200	added ('OK')	text/html	etag:W/%220ac75f004cc9b5be301977eee718732a%22	https://designpro-html.vercel.app/index.html	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/index-2.html	(from https://designpro-html.vercel.app/)
13:46:28	89500/89500	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c14a783dfeb3d238ccd3edd840d82ee%22	https://designpro-html.vercel.app/assets/js/jquery-3.6.0.min.js	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/js/jquery-3.6.0.min.js	(from https://designpro-html.vercel.app/)
13:46:29	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5a61c749e44e47159af8a6579dda121%22	https://designpro-html.vercel.app/assets/js/slick.min.js	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/js/slick.min.js	(from https://designpro-html.vercel.app/)
13:46:29	20221/20221	---MCZ	200	added ('OK')	application/javascript	etag:W/%22012ea90f2b209b3f46e44186d2b81c30%22	https://designpro-html.vercel.app/assets/js/jquery.magnific-popup.min.js	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/js/jquery.magnific-popup.min.js	(from https://designpro-html.vercel.app/)
13:46:30	71373/71373	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e6d272f90fcdce13431fb1eb1b5cffc4%22	https://designpro-html.vercel.app/assets/js/gsap.min.js	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/js/gsap.min.js	(from https://designpro-html.vercel.app/)
13:46:30	43380/43380	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a974-SJvPbZxp8PKfhx4DI1EMUZeFm/U%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js	C:/Users/pc/Desktop/r-html/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js	(from https://designpro-html.vercel.app/)
13:46:30	5966/5966	---MCZ	200	added ('OK')	application/javascript	etag:W/%223de53d1d1e31e8bc4bea5286dd7f568f%22	https://designpro-html.vercel.app/assets/js/script.js	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/js/script.js	(from https://designpro-html.vercel.app/)
13:46:31	525744/525744	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22119cc4a3fdceb54204867130203957a7%22	https://designpro-html.vercel.app/assets/fonts/remixicon.eot?t=1708865856766	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/fonts/remixicon117c.eot	(from https://designpro-html.vercel.app/assets/fonts/remixicon.css)
13:46:31	163200/163200	---M--	200	added ('OK')	font/woff2	etag:%2205950c5eb20fec7b089672a23e5f5182%22	https://designpro-html.vercel.app/assets/fonts/remixicon.woff2?t=1708865856766	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/fonts/remixicon117c.woff2	(from https://designpro-html.vercel.app/assets/fonts/remixicon.css)
13:46:31	224116/224116	---M--	200	added ('OK')	font/woff	etag:%2255cb0021d41d7fc63f5754dc9221fca7%22	https://designpro-html.vercel.app/assets/fonts/remixicon.woff?t=1708865856766	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/fonts/remixicon117c.woff	(from https://designpro-html.vercel.app/assets/fonts/remixicon.css)
13:46:32	525572/525572	---MCZ	200	added ('OK')	font/ttf	etag:W/%22fd43e311fef76b485b795d33aedb7f2a%22	https://designpro-html.vercel.app/assets/fonts/remixicon.ttf?t=1708865856766	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/fonts/remixicon117c.ttf	(from https://designpro-html.vercel.app/assets/fonts/remixicon.css)
13:46:33	2460531/2460531	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2272d56d9b9ed95aa3ef1448aee2ea53a1%22	https://designpro-html.vercel.app/assets/fonts/remixicon.svg?t=1708865856766	C:/Users/pc/Desktop/r-html/designpro-html.vercel.app/assets/fonts/remixicon117c.svg	(from https://designpro-html.vercel.app/assets/fonts/remixicon.css)
